,Date,Company,Product,Units
0,2015-02-02 08:30:00,Hooli,Software,3
1,2015-02-02 21:00:00,Mediacore,Hardware,9
2,2015-02-03 14:00:00,Initech,Software,13
3,2015-02-04 15:30:00,Streeplex,Software,13
4,2015-02-04 22:00:00,Acme Coporation,Hardware,14
5,2015-02-05 02:00:00,Acme Coporation,Software,19
6,2015-02-05 22:00:00,Hooli,Service,10
7,2015-02-07 23:00:00,Acme Coporation,Hardware,1
8,2015-02-09 09:00:00,Streeplex,Service,19
9,2015-02-09 13:00:00,Mediacore,Software,7
10,2015-02-11 20:00:00,Initech,Software,7
11,2015-02-11 23:00:00,Hooli,Software,4
12,2015-02-16 12:00:00,Hooli,Software,10
13,2015-02-19 11:00:00,Mediacore,Hardware,16
14,2015-02-19 16:00:00,Mediacore,Service,10
15,2015-02-21 05:00:00,Mediacore,Software,3
16,2015-02-21 20:30:00,Hooli,Hardware,3
17,2015-02-25 00:30:00,Initech,Service,10
18,2015-02-26 09:00:00,Streeplex,Service,4
